Date,Bullish,Bearish,,
25/04/2015,2.57,0.08,,https://www.quandl.com/data/PS1?keyword=Bank%20of%20America
24/04/2015,2.463333,1.618571,,
23/04/2015,1.474,1.612857,,
22/04/2015,1.45,1.32,,
21/04/2015,1.700909,0.911667,,
20/04/2015,2.09,1.335,,
19/04/2015,1.715,0,,
18/04/2015,1.9075,2.125,,
17/04/2015,1.909259,1.731111,,
16/04/2015,1.991132,1.569,,
15/04/2015,1.655844,1.7736,,
14/04/2015,1.910909,1.8925,,
13/04/2015,2.036667,0.785,,
12/04/2015,2.02,0.6075,,
10/04/2015,1.749412,1.563333,,
09/04/2015,1.693684,1.1525,,
08/04/2015,1.738649,1.7,,
07/04/2015,1.602273,2.140833,,
06/04/2015,1.635333,2.34875,,
05/04/2015,1.0925,0,,
04/04/2015,0,2.015,,
03/04/2015,2.635,0.3,,
02/04/2015,2.003636,1.698,,
01/04/2015,1.8428,1.674286,,
31/03/2015,1.739333,1.75,,
30/03/2015,1.828947,1.205,,
29/03/2015,0,1.056667,,
28/03/2015,2.04,0,,
27/03/2015,1.700455,2.335,,
26/03/2015,1.717143,1.806667,,
25/03/2015,1.7176,1.912,,
24/03/2015,1.251,2.233636,,
23/03/2015,1.343214,1.74,,
22/03/2015,1.77,0,,
21/03/2015,1.302,0,,
20/03/2015,1.508085,1.880833,,
19/03/2015,1.711667,1.768108,,
18/03/2015,1.563333,2.258824,,
17/03/2015,2.050909,1.935333,,
16/03/2015,1.596667,1.424545,,
15/03/2015,1.646667,1.976667,,
13/03/2015,1.71,1.685,,
12/03/2015,1.788929,1.7105,,
11/03/2015,1.717196,1.895319,,
10/03/2015,1.412632,2.102727,,
09/03/2015,1.7952,1.65,,
08/03/2015,2.01,1.65,,
07/03/2015,2.7,0,,
06/03/2015,1.756308,1.827097,,
05/03/2015,1.874462,1.957273,,
04/03/2015,1.901818,1.2425,,
03/03/2015,2.264667,1.283333,,
02/03/2015,1.842609,2.3275,,
01/03/2015,2,1.005,,
28/02/2015,2.3,2.663333,,
27/02/2015,1.917586,1.269545,,
24/02/2015,1.707,1.8475,,
23/02/2015,1.730769,1.491667,,
22/02/2015,2.5,0.37,,
20/02/2015,1.714444,0.48,,
17/02/2015,1.613913,1.42,,
16/02/2015,2.29,2.43,,
15/02/2015,1.89,1.416667,,
14/02/2015,2.42,0,,
13/02/2015,2.093125,2.168571,,
10/02/2015,1.702105,0.7,,
09/02/2015,1.606923,1.84875,,
08/02/2015,2.12,1.405,,
07/02/2015,2.298333,3.15,,
06/02/2015,1.7788,1.8456,,
03/02/2015,1.818966,1.538889,,
02/02/2015,2.017143,2.236923,,
01/02/2015,1.533333,1.395,,
31/01/2015,2.486667,2.03,,
30/01/2015,1.711765,2.040556,,
27/01/2015,1.905294,1.68,,
26/01/2015,1.296667,1.80875,,
25/01/2015,0,1.076667,,
24/01/2015,1.392,0.78,,
23/01/2015,1.668125,1.316364,,
20/01/2015,1.990333,1.568462,,
19/01/2015,1.555,1.955,,
18/01/2015,0,0.8,,
16/01/2015,1.7225,1.495714,,
13/01/2015,1.6752,2.043182,,
12/01/2015,1.606111,2.073333,,
11/01/2015,1.99,1.333333,,
10/01/2015,2.02,2.755,,
09/01/2015,1.477917,1.8025,,
06/01/2015,1.742286,1.673913,,
04/01/2015,2.06,0,,
03/01/2015,0.56,0,,
02/01/2015,1.874,2.061429,,
30/12/2014,1.503636,1.791667,,
29/12/2014,1.962105,1.6175,,
28/12/2014,2.5,0,,
27/12/2014,2.08,2.7,,
26/12/2014,1.585455,1.57,,
23/12/2014,1.420185,0.271111,,
22/12/2014,1.543158,0.214211,,
21/12/2014,2.275,0,,
20/12/2014,0.884,0.512,,
19/12/2014,1.483043,0.273043,,
16/12/2014,1.136512,0.678372,,
15/12/2014,1.207241,0.527586,,
13/12/2014,1.192,0.456,,
12/12/2014,0.953333,0.61037,,
09/12/2014,1.344462,0.389538,,
08/12/2014,1.388235,0.445,,
07/12/2014,1.231111,0.444444,,
06/12/2014,2.49,0,,
02/12/2014,1.264583,0.230417,,
01/12/2014,1.633478,0.281304,,
29/11/2014,2.2,0,,
28/11/2014,0.583333,1.081667,,
25/11/2014,0.506667,1.081333,,
24/11/2014,1.565,0.4325,,
23/11/2014,1.056,0.444,,
22/11/2014,0.83,0,,
21/11/2014,1.098235,0.417647,,
18/11/2014,1.525769,0.307308,,
17/11/2014,1.0572,0.5104,,
16/11/2014,1.11,0,,
15/11/2014,1.9,0,,
14/11/2014,0.920741,0.853333,,
11/11/2014,1.259615,0.707308,,
10/11/2014,1.359643,0.365,,
08/11/2014,0.85,1,,
07/11/2014,1.606154,0.100385,,
04/11/2014,1.43875,0.213438,,
03/11/2014,1.382083,0.389167,,
02/11/2014,1.578889,0.162222,,
01/11/2014,0,2.58,,
31/10/2014,0.867586,0.721034,,
28/10/2014,1.796923,0.003846,,
27/10/2014,0.717692,0.501538,,
26/10/2014,1.026667,0.553333,,
25/10/2014,1.195,0.445,,
24/10/2014,0.969063,0.57,,
21/10/2014,1.58,0.153103,,
20/10/2014,1.458,0.4655,,
19/10/2014,2.33,0,,
18/10/2014,0.7225,1.7725,,
17/10/2014,1.108485,0.524242,,
16/10/2014,1.133171,0.562439,,
15/10/2014,1.213585,0.706132,,
14/10/2014,1.328387,0.307742,,
12/10/2014,0.967143,0.357143,,
11/10/2014,1.38,0.266667,,
10/10/2014,1.0784,0.3492,,
09/10/2014,0.999038,0.677308,,
08/10/2014,1.229535,0.464884,,
07/10/2014,1.082174,0.523913,,
06/10/2014,1.597222,0.376667,,
05/10/2014,2.223333,0,,
04/10/2014,1.367143,0.484286,,
03/10/2014,1.357568,0.382703,,
02/10/2014,1.570714,0.24,,
01/10/2014,1.098571,0.651071,,
30/09/2014,1.516842,0.515789,,
29/09/2014,1.051,0.492,,
28/09/2014,0.733333,1,,
27/09/2014,1.691429,0.265714,,
24/09/2014,1.285294,0.50451,,
23/09/2014,1.351613,0.323226,,
22/09/2014,1.417368,0.58,,
20/09/2014,1.37375,0.16875,,
19/09/2014,0.805909,0.918636,,
18/09/2014,1.310682,0.507727,,
17/09/2014,1.106667,0.714444,,
16/09/2014,1.505,0.5325,,
15/09/2014,1.444706,0.428235,,
14/09/2014,1.676667,0,,
13/09/2014,1.21,0.121667,,
12/09/2014,1.489189,0.414054,,
11/09/2014,1.699444,0.200556,,
10/09/2014,1.303158,0.381053,,
09/09/2014,0.838846,1.059615,,
08/09/2014,1.530698,0.401163,,
07/09/2014,1.45,0,,
06/09/2014,1.126667,0.9,,
05/09/2014,1.329333,0.714,,
04/09/2014,1.565833,0.215833,,
03/09/2014,0.968824,0.687647,,
02/09/2014,1.327368,0.247368,,
31/08/2014,1.8,0,,
30/08/2014,1.5025,0.9175,,
29/08/2014,1.696,0.166667,,
28/08/2014,1.065455,0.745909,,
27/08/2014,1.058235,0.732941,,
26/08/2014,1.261304,0.74087,,
25/08/2014,1.345111,0.49,,
24/08/2014,2.31,0,,
23/08/2014,1.39,0.333333,,
22/08/2014,1.4338,0.3782,,
21/08/2014,1.448148,0.379722,,
20/08/2014,1.5025,0.16125,,
19/08/2014,1.602381,0.411905,,
18/08/2014,0.9825,0.270625,,
17/08/2014,0.828,1.004,,
16/08/2014,2.44,0,,
15/08/2014,1.396,0.457,,
14/08/2014,1.721429,0.405,,
13/08/2014,0.861818,0.847273,,
11/08/2014,1.255,0.235,,
09/08/2014,0,3,,
08/08/2014,1.461429,0,,
07/08/2014,1.223448,0.625862,,
06/08/2014,1.18098,0.592157,,
05/08/2014,1.586667,0.210556,,
04/08/2014,0.4925,0.8875,,
03/08/2014,0,1.3725,,
02/08/2014,1.542,0.58,,
31/07/2014,1.12,0.942222,,
29/07/2014,1.397778,0.501111,,
25/07/2014,1.110833,0.505,,
24/07/2014,1.135455,0.367273,,
23/07/2014,0.54,0.5,,
22/07/2014,1.053077,0.576154,,
21/07/2014,1.4472,0.318,,
20/07/2014,0.971429,0.254286,,
19/07/2014,1.93,0,,
15/07/2014,1.28775,0.4755,,
14/07/2014,1.178095,0.834762,,
13/07/2014,0.75,1.15,,
12/07/2014,1.9575,0,,
11/07/2014,1.078571,0.321429,,
10/07/2014,1.368889,0.643333,,
09/07/2014,0.757857,0.868571,,
08/07/2014,1.091429,0.942857,,
07/07/2014,1.318667,0.448667,,
06/07/2014,1.626667,0.9,,
05/07/2014,0,2.7,,
04/07/2014,0,2.08,,
03/07/2014,1.53,0.38,,
02/07/2014,1.54,0.26,,
01/07/2014,1.37,0.28,,
30/06/2014,1.11,0.45,,
29/06/2014,0.64,1.2,,
28/06/2014,1.56,0,,
27/06/2014,1.7,0,,
26/06/2014,0.98,0.66,,
25/06/2014,1.38,0.54,,
24/06/2014,1.23,0.29,,
23/06/2014,1.28,0.58,,
22/06/2014,2.33,0,,
20/06/2014,1.1,0.49,,
19/06/2014,1.22,0.32,,
18/06/2014,1.29,0.38,,
17/06/2014,1.37,0.35,,
16/06/2014,0.67,1.14,,
15/06/2014,1.37,0,,
13/06/2014,1.44,0.48,,
12/06/2014,1.1,0.77,,
11/06/2014,0.85,0.62,,
10/06/2014,1.56,0.34,,
09/06/2014,1.45,0.21,,
08/06/2014,1.59,0.13,,
07/06/2014,0.85,0.63,,
06/06/2014,1.39,0.55,,
05/06/2014,1.2,0.63,,
04/06/2014,1.33,0.34,,
03/06/2014,1.78,0.34,,
02/06/2014,1.03,0.46,,
01/06/2014,1.16,0.2,,
31/05/2014,0.65,0.43,,
30/05/2014,1.39,0.6,,
29/05/2014,0.89,1.04,,
28/05/2014,0.98,0.68,,
27/05/2014,1.3,0.34,,
26/05/2014,1.75,0,,
25/05/2014,1.35,0,,
24/05/2014,0,0.2,,
23/05/2014,1.14,0.44,,
22/05/2014,1.15,0.58,,
21/05/2014,1.29,0.52,,
20/05/2014,0.71,0.42,,
19/05/2014,1.31,0.64,,
18/05/2014,1.67,0.62,,
17/05/2014,0.45,1.53,,
16/05/2014,0.75,0.95,,
15/05/2014,0.93,0.86,,
14/05/2014,0.64,1.29,,
13/05/2014,1.09,0.54,,
12/05/2014,1.34,0.38,,
11/05/2014,1.07,0.14,,
10/05/2014,0.65,0.55,,
09/05/2014,0.71,0.96,,
08/05/2014,1.43,0.44,,
07/05/2014,1.21,0.65,,
06/05/2014,1.01,1.05,,
05/05/2014,0.92,0.86,,
04/05/2014,1.44,0.54,,
03/05/2014,0.76,0.5,,
02/05/2014,0.95,0.74,,
01/05/2014,1.21,0.58,,
30/04/2014,0.87,0.71,,
29/04/2014,0.84,0.97,,
28/04/2014,0.88,0.95,,
27/04/2014,0.65,0.51,,
26/04/2014,0.63,0.2,,
25/04/2014,0.72,0.81,,
24/04/2014,1.36,0.57,,
23/04/2014,1.41,0.25,,
22/04/2014,1.15,0.54,,
21/04/2014,1.11,0.75,,
20/04/2014,0.54,0,,
19/04/2014,1.46,0.73,,
18/04/2014,2.12,0,,
17/04/2014,0.89,0.73,,
16/04/2014,1.08,0.88,,
15/04/2014,0.89,0.83,,
14/04/2014,0.98,0.71,,
13/04/2014,1.16,0.66,,
12/04/2014,1.04,0.51,,
11/04/2014,1.02,0.96,,
10/04/2014,1.01,0.65,,
09/04/2014,1.5,0.38,,
08/04/2014,1.16,0.4,,
07/04/2014,0.87,0.73,,
06/04/2014,1.01,0,,
05/04/2014,1.56,0.6,,
04/04/2014,0.99,0.7,,
03/04/2014,0.89,0.87,,
02/04/2014,1.21,0.38,,
01/04/2014,1.33,0.17,,
31/03/2014,1.41,0.41,,
30/03/2014,1.38,0.78,,
29/03/2014,1.14,0.69,,
28/03/2014,1.02,0.65,,
27/03/2014,1.25,0.52,,
26/03/2014,1.4,0.39,,
25/03/2014,1.26,0.57,,
24/03/2014,1.18,0.4,,
23/03/2014,2.85,0,,
22/03/2014,0.97,0.5,,
21/03/2014,1.11,0.6,,
20/03/2014,1.47,0.47,,
19/03/2014,1.39,0.33,,
18/03/2014,1.24,0.5,,
17/03/2014,1.13,0.71,,
16/03/2014,1.74,0.27,,
15/03/2014,0.43,0.67,,
14/03/2014,0.91,1,,
13/03/2014,1.38,0.55,,
12/03/2014,1.05,0.42,,
11/03/2014,1.19,0.6,,
10/03/2014,1.49,0.31,,
09/03/2014,1.76,0,,
08/03/2014,2.42,0,,
07/03/2014,1.09,0.65,,
06/03/2014,1.39,0.31,,
05/03/2014,1.51,0.36,,
04/03/2014,1.54,0.27,,
03/03/2014,1.16,0.66,,
02/03/2014,1.41,0.28,,
01/03/2014,1.35,0.22,,
28/02/2014,1.35,0.55,,
27/02/2014,1.18,0.63,,
26/02/2014,1.03,0.7,,
25/02/2014,1.33,0.27,,
24/02/2014,1.14,0.6,,
23/02/2014,1.74,0,,
22/02/2014,1.98,0,,
21/02/2014,1.6,0.22,,
20/02/2014,1.1,0.66,,
19/02/2014,0.92,0.61,,
18/02/2014,0.96,0.8,,
17/02/2014,1,0.26,,
16/02/2014,2.28,0,,
15/02/2014,0.93,0.07,,
14/02/2014,1.24,0.58,,
13/02/2014,0.82,0.95,,
12/02/2014,1.36,0.64,,
11/02/2014,1.27,0.36,,
10/02/2014,1.25,0.39,,
09/02/2014,0.68,0.67,,
08/02/2014,1.3,0.03,,
07/02/2014,1.16,0.51,,
06/02/2014,1.19,0.62,,
05/02/2014,1.15,0.3,,
04/02/2014,0.96,0.56,,
03/02/2014,1.08,0.91,,
02/02/2014,0.78,1.05,,
01/02/2014,0.44,1.31,,
31/01/2014,1.27,0.5,,
30/01/2014,1.12,0.44,,
29/01/2014,1.2,0.71,,
28/01/2014,1.34,0.42,,
27/01/2014,1.12,0.59,,
26/01/2014,1.37,0.24,,
25/01/2014,1.36,0.17,,
24/01/2014,1.06,0.63,,
23/01/2014,0.94,0.98,,
22/01/2014,1.58,0.53,,
21/01/2014,1,0.72,,
20/01/2014,1.23,0.35,,
19/01/2014,0.71,1.21,,
18/01/2014,1.41,0.09,,
17/01/2014,0.9,0.67,,
16/01/2014,1.39,0.64,,
15/01/2014,1.38,0.52,,
14/01/2014,1.22,0.56,,
13/01/2014,1.12,0.65,,
12/01/2014,1.43,0.17,,
11/01/2014,1.38,0.37,,
10/01/2014,1.32,0.3,,
09/01/2014,1.51,0.52,,
08/01/2014,0.99,0.47,,
07/01/2014,1.16,0.59,,
06/01/2014,1.28,0.24,,
05/01/2014,1.04,0.7,,
04/01/2014,1.63,0.19,,
03/01/2014,1.92,0.12,,
02/01/2014,1.65,0.28,,
01/01/2014,2.22,0,,
31/12/2013,3,0,,
30/12/2013,0.15,0.97,,
29/12/2013,2.17,0,,
28/12/2013,1.54,0.05,,
27/12/2013,1.62,0.46,,
26/12/2013,1.11,1.19,,
25/12/2013,1.52,0.15,,
24/12/2013,1.52,0.46,,
23/12/2013,1.24,0.98,,
22/12/2013,0.93,0.04,,
21/12/2013,1.94,0,,
20/12/2013,1.12,0.43,,
19/12/2013,1.17,0.5,,
18/12/2013,1.4,0.27,,
17/12/2013,1.47,0.18,,
16/12/2013,1.63,0.26,,
15/12/2013,1.15,0.57,,
14/12/2013,1.65,0,,
13/12/2013,1.21,0.58,,
12/12/2013,1.15,0.47,,
11/12/2013,1.28,0.74,,
10/12/2013,1.16,0.68,,
09/12/2013,1.21,0.44,,
08/12/2013,1.17,0.12,,
07/12/2013,1.66,0.59,,
06/12/2013,0.97,0.7,,
05/12/2013,1.02,0.7,,
04/12/2013,1.24,0.53,,
03/12/2013,0.9,0.83,,
02/12/2013,1.43,0.72,,
01/12/2013,1.7,0.43,,
30/11/2013,1.46,0.39,,
29/11/2013,1.69,0.21,,
28/11/2013,1.11,0.34,,
27/11/2013,0.89,0.74,,
26/11/2013,1.12,0.37,,
25/11/2013,1.2,0.6,,
24/11/2013,1.91,0,,
23/11/2013,1.51,0.23,,
22/11/2013,1.34,0.46,,
21/11/2013,1.22,0.62,,
20/11/2013,1.5,0.3,,
19/11/2013,1.51,0.32,,
18/11/2013,1.41,0.55,,
17/11/2013,1.61,0.39,,
16/11/2013,1.56,0.1,,
15/11/2013,1.49,0.21,,
14/11/2013,1.45,0.3,,
13/11/2013,1.16,0.61,,
12/11/2013,0.93,0.71,,
11/11/2013,1.45,0.41,,
10/11/2013,1.67,0.1,,
09/11/2013,2.3,0,,
08/11/2013,1.38,0.4,,
07/11/2013,0.97,0.91,,
06/11/2013,1.13,0.54,,
05/11/2013,0.62,1.3,,
04/11/2013,1.04,0.48,,
03/11/2013,1.15,0.24,,
02/11/2013,0.85,1.01,,
01/11/2013,1.04,0.59,,
31/10/2013,1.27,0.73,,
30/10/2013,1.26,0.54,,
29/10/2013,0.9,0.83,,
28/10/2013,1.15,0.62,,
27/10/2013,1.67,0.25,,
26/10/2013,0.76,0.9,,
25/10/2013,1.42,0.5,,
24/10/2013,1.24,0.57,,
23/10/2013,1.3,0.54,,
22/10/2013,1.03,0.38,,
21/10/2013,1.06,0.42,,
20/10/2013,0.38,0.47,,
19/10/2013,1.84,0.33,,
18/10/2013,1.4,0.29,,
17/10/2013,1.08,0.81,,
16/10/2013,1.43,0.65,,
15/10/2013,1.38,0.39,,
14/10/2013,1.63,0.33,,
13/10/2013,1.41,0.08,,
12/10/2013,1.48,0.16,,
11/10/2013,1.27,0.69,,
10/10/2013,1.29,0.64,,
09/10/2013,0.85,0.74,,
08/10/2013,0.73,1.1,,
07/10/2013,0.76,0.64,,
06/10/2013,0.24,0.24,,
04/10/2013,1.36,0.33,,
03/10/2013,1.32,0.6,,
02/10/2013,1.1,0.45,,
01/10/2013,1.13,0.28,,
30/09/2013,0.97,0.62,,
29/09/2013,1.37,0.59,,
28/09/2013,0.44,1.36,,
27/09/2013,1.03,0.57,,
26/09/2013,0.8,0.65,,
25/09/2013,1.06,0.64,,
24/09/2013,1.17,0.54,,
23/09/2013,0.75,0.86,,
22/09/2013,0.96,0.79,,
21/09/2013,1.78,0,,
20/09/2013,1.13,0.5,,
19/09/2013,1.15,0.38,,
18/09/2013,1.33,0.64,,
17/09/2013,1.03,0.59,,
16/09/2013,1.26,0.5,,
15/09/2013,1.29,0.5,,
14/09/2013,1.26,0,,
13/09/2013,0.93,0.71,,
12/09/2013,1,0.87,,
11/09/2013,1.15,0.5,,
10/09/2013,1.34,0.39,,
09/09/2013,1.56,0.31,,
08/09/2013,1.45,0,,
07/09/2013,2.77,0,,
06/09/2013,0.99,0.46,,
05/09/2013,1.54,0.49,,
04/09/2013,1.53,0.41,,
03/09/2013,1.57,0.78,,
02/09/2013,1.29,0.2,,
01/09/2013,1.6,0,,
31/08/2013,1.34,0.69,,
30/08/2013,0.94,0.62,,
29/08/2013,1.11,0.55,,
28/08/2013,1.13,0.56,,
27/08/2013,1.05,0.65,,
26/08/2013,1.29,0.66,,
25/08/2013,1.58,0.27,,
24/08/2013,0.45,1.15,,
23/08/2013,1.07,0.83,,
22/08/2013,1.39,0.52,,
21/08/2013,1.29,0.53,,
20/08/2013,1.22,0.65,,
